date,title,translated,poster,actor,character,audio-url,type
2016-03-23,Batman V Superman,Batman V Superman,batman.v.superman.jpg,Ezra Miller,The Flash,,35mm
2015-12-04,In the heart of the sea,En el corazón del mar,in.the.heart.of.the.sea.jpg,Frank Dillane,Henry Coffin,,35mm
2016-07-01,Independence Day: Resurgence,Independence Day: Contraataque,independence.day.resurgence.jpg,Travis Tope,Charlie,,35mm
2015-09-25,Irrational Man,Irrational Man,irrational.man.jpg,Jamie Blackley,Roy,,35mm
2016-04-26,Race,El Héroe de Berlín,race.jpg,Stephan James,Jesse Owens,267024861%3Fsecret_token%3Ds-YcmBO,35mm
2015-06-26,San Andreas,San Andrés,san.andreas.jpg,Hugo Johnstone-Burt,Ben Taylor,,35mm
2016-02-05,The Revenant,El Renacido,the.revenant.jpg,Will Poulter,Bridger,,35mm
2016-02-13,War & Peace,Guerra y Paz,war.and.peace.jpg,Paul Dano,Pierre Bezukhov,,Serie
2016-06-03,Warcraft,Warcraft. El origen,warcraft.jpg,Ben Schnetzer,Khadgar,,35mm
2015-03-19,Pride,Pride (Orgullo),pride.jpg,George Mackay,Joe,,35mm
2015-07-09,Terminator Genisys,Terminator Génesis,terminator.genisys.jpg,Matt Smith,Alex,,35mm
2014-08-14,Khumba,Khumba,khumba.jpg,Jake T. Austin,Khumba,,35mm
2014-09-19,If I Stay,Si decido quedarme,if.i.stay.jpg,Jamie Blackley,Adam,267024867%3Fsecret_token%3Ds-3PJuz,35mm
2014-02-21,The Monuments Men,Monuments Men,the.monuments.men.jpg,Dimitri Leonidas,Sam Epstein,,35mm
2015-01-09,Fury,Corazones de Acero,fury.jpg,Logan Lerman,Norman Ellison,,35mm
2014-04-04,Noah,Noé,noah.jpg,Logan Lerman,Cam,,35mm
2014-04-30,Divergent,Divergente,divergent.jpg,Christian Madsen,Al,,35mm
2010-01-01,The Middle,The Middle,the.middle.jpg,Charlie McDermott,Axl,,Serie
2013-11-15,Blue Jasmine,Blue Jasmine,blue.jasmine.jpg,Alden Ehrenreich,Danny,,35mm
2013-06-14,Stuck in Love,Un invierno en la playa,stuck.in.love.jpg,Nat Wolff,Rusty Borgens,,35mm
2014-10-13,American Horror Story: Freak Show,American Horror Story: Freak Show,american.horror.story.freak.show.jpg,Finn Wittrock,Dandy Mott,267024875%3Fsecret_token%3Ds-NQrDS,Serie
1999-06-23,The Matrix,Matrix,the.matrix.jpg,Rowan Witt,Niño cuchara,,35mm
1994-09-23,Forrest Gump,Forrest Gump,forrest.gump.jpg,Haley Joel Osment,Forrest Gump Jr.,,35mm
1995-04-19,The Little Rascals,Una pandilla de pillos,the.little.rascals.jpg,Ross Bagley,William Buckwheat Thomas,,35mm
1996-03-29,All dogs go to heaven 2,Todos Los Perros van al cielo 2,all.dogs.go.to.heaven.2.jpg,Adam Wylie,David,,35mm
1997-01-01,Smart Guy,Este chico es un genio,smart.guy.jpg,Tahj Mowry,TJ Henderson,,Serie
1997-02-03,Space Jam,Space Jam,space.jam.jpg,Eric Gordon,Marcus Jordan,,35mm
1997-02-21,The Preacher's Wife,La Mujer del Predicador,the.preachers.wife.jpg,Edmund Justin Pierre,Jeremiah Biggs,,35mm
1997-05-09,Liar liar,Mentiroso Compulsivo,liar.liar.jpg,Justin Cooper,Max Reede,,35mm
1998-12-18,The Prince of Egypt,El Príncipe de Egitpo,the.prince.of.egypt.jpg,Bobby Motown,Hijo de Ramsés,,35mm
1997-02-01,Recess,La Banda del Patio,recess.jpg,Courtland Mead,Gus Griswald,,Serie
1998-01-27,As good as it gets,Mejor... imposible,as.good.as.it.gets.jpg,Jesse James,Spencer Connelly,,35mm
1998-10-02,The Horse Whisperer,El hombre que susurraba a los caballos,the.horse.whisperer.jpg,Ty Hillman,Joe Booker,,35mm
1998-11-27,The Mask of Zorro,La Máscara del Zorro,the.mask.of.zorro.jpg,José María de Tavira,Joven Alejandro Murrieta,,35mm
1999-03-26,Star Trek: Insurrection,Star Trek: Insurrección,star.trek.insurrection.jpg,Michael Welch,Artim,,35mm
1998-10-27,The Lion King II: Simba's Pride,El rey león 2: El tesoro de Simba,the.lion.king.2.simbas.pride.jpg,Ryan O'Donohue,Kovu joven,,Video
1999-12-17,The Iron Giant,El gigante de hierro,the.iron.giant.jpg,Eli Marienthal,Hogarth Hughes,,35mm
1999-08-20,Star Wars: Episode I - The Phantom Menace,Star Wars: Episodio I - La amenaza fantasma,star.wars.episode.i.the.phantom.menace.jpg,Jake Lloyd, Anakin Skywalker,,35mm
1999-12-17,Anna and the King,Ana y el Rey,anna.and.the.king.jpg,Keith Chin,Príncipe Chulalongkorn,,35mm
2008-01-01,Death Note,Death Note,death.note.jpg,Noriko Hidaka,Near,,Serie
